phone_ownership,phone_ownership_response,phone_cost,state_phone,state_phone_response,brand_phone,brand_phone_response,gender,gender_response,age,ethnicity,education,education_response,employment_status,income,family_size,treatment,WTP,WTP_response,WTP_per,protest_flag,emotional_attachment
Bought outright,,101,Secondhand - Private Seller (eg. ebay),,"Other, please specify",Huawei ,Male,,25 - 34,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,cont,40.0,,0.396,False,13
Bought outright,,491,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£50,000 to £59,999",None,gov,45.0,,0.092,False,2
Bought outright,,180,Brand New,,"Other, please specify",honor 7x,Male,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,"£10,000 to £19,999",None,cont,75.0,,0.417,False,6
Bought outright,,243,Brand New,,Apple (iPhone),,Female,,Over 65,White,Master's degree,,In part-time employment,"£20,000 to £29,999",1,env,304.0,,1.251,False,13
"Other, please specify","Yes. I own my dad's old phone (i.e. he purchased a new one, and I kept his old one).",0,"Other, please specify",Secondhand - family member,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,cont,80.0,,0.0,False,13
Bought outright,,580,Brand New,,Samsung (Galaxy),,Female,,25 - 34,BAME,Master's degree,,In part-time employment,Prefer not to say,None,env,150.0,,0.259,False,16
Bought outright,,300,Brand New,,"Other, please specify",Huawei,Female,,25 - 34,White,Master's degree,,In full-time employment,"£10,000 to £19,999",1,gov,50.0,,0.167,False,8
Bought outright,,1075,Brand New,,Apple (iPhone),,Female,,45 - 54,White,Master's degree,,In full-time employment,"£150,000 or more",1,gov,500.0,,0.465,False,9
Bought outright,,127,Brand New,,"Other, please specify",One plus,Female,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,cont,49.0,,0.386,False,5
Bought outright,,50,"Other, please specify",My daughter upgraded to an iPhone and gave me her samsung,Samsung (Galaxy),,Female,,55 - 64,White,"Other, please specify",PGCE,Self employed,"£20,000 to £29,999",1,env,51.0,,1.02,False,8
Bought outright,,320,Brand New,,Samsung (Galaxy),,Female,,55 - 64,White,"Other, please specify",Professional qualification postgraduate,In part-time employment,Prefer not to say,None,cont,50.0,,0.156,False,9
Bought outright,,201,Brand New,,Samsung (Galaxy),,Female,,55 - 64,White,Undergraduate degree,,In full-time employment,"£70,000 to £79,999",None,gov,52.0,,0.259,False,5
Bought outright,,353,Brand New,,Samsung (Galaxy),,Female,,18 - 24,BAME,Master's degree,,In full-time employment,"£20,000 to £29,999",None,env,100.0,,0.283,False,7
Bought on contract - fully paid,,702,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Master's degree,,In full-time employment,"£40,000 to £49,999",None,env,54.0,,0.077,False,6
Bought outright,,907,Brand New,,Apple (iPhone),,Non-binary / third gender,,Over 65,BAME,Doctoral degree,,In full-time employment,"£90,000 to £99,999",3,cont,51.0,,0.056,False,7
Bought on contract - fully paid,,81,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time employment,"£10,000 to £19,999",None,env,32.0,,0.395,False,15
Bought on contract - fully paid,,175,Brand New,,"Other, please specify",HTC,Male,,55 - 64,White,Doctoral degree,,In full-time employment,"£30,000 to £39,999",None,cont,50.0,,0.286,False,3
Bought outright,,386,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£50,000 to £59,999",None,gov,99.0,,0.256,False,12
Bought on contract - fully paid,,150,Brand New,,Samsung (Galaxy),,Female,,35 - 44,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,env,50.0,,0.333,False,8
Bought outright,,362,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In part-time employment,"£20,000 to £29,999",None,cont,142.0,,0.392,False,14
Bought on contract - fully paid,,699,Brand New,,Apple (iPhone),,Male,,45 - 54,White,Master's degree,,In full-time employment,"£40,000 to £49,999",3,gov,40.0,,0.057,False,13
Bought outright,,699,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time education,Not sure,None,cont,0.0,Repairability is not a priority for me,0.0,False,7
Bought outright,,751,Brand New,,"Other, please specify",Huawei ,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,Not sure,None,gov,100.0,,0.133,False,14
Bought outright,,177,Brand New,,Samsung (Galaxy),,Male,,55 - 64,White,Undergraduate degree,,In full-time employment,"£70,000 to £79,999",None,env,230.0,,1.299,False,6
Bought outright,,281,Brand New,,"Other, please specify",Xiaomi,Female,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,cont,80.0,,0.285,False,7
Bought outright,,300,Brand New,,Samsung (Galaxy),,Female,,35 - 44,White,Doctoral degree,,In full-time employment,"£20,000 to £29,999",2,env,50.0,,0.167,False,9
Bought outright,,126,Brand New,,"Other, please specify",Sony,Male,,18 - 24,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,gov,40.0,,0.317,False,9
Bought on contract - fully paid,,795,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,env,108.0,,0.136,False,13
Bought outright,,978,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time education,Not sure,None,gov,280.0,,0.286,False,15
Bought outright,,304,Brand New,,Samsung (Galaxy),,Male,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,"£30,000 to £39,999",None,cont,76.0,,0.25,False,6
Bought outright,,1000,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None,gov,201.0,,0.201,False,14
Bought outright,,500,Brand New,,Samsung (Galaxy),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,cont,100.0,,0.2,False,14
Bought outright,,399,Brand New,,"Other, please specify",Huawei,Male,,25 - 34,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,env,151.0,,0.378,False,8
Bought outright,,800,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Male,,25 - 34,White,Doctoral degree,,In full-time employment,"£30,000 to £39,999",None,gov,103.0,,0.129,False,4
Bought outright,,519,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£50,000 to £59,999",None,cont,155.0,,0.299,False,10
Bought outright,,1100,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,env,149.0,,0.135,False,10
Bought outright,,592,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,gov,172.0,,0.291,False,10
Bought outright,,503,Brand New,,Apple (iPhone),,Female,,55 - 64,White,Undergraduate degree,,Not in employment,"£40,000 to £49,999",None,cont,100.0,,0.199,False,9
Bought outright,,700,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Master's degree,,In full-time employment,"£40,000 to £49,999",None,gov,101.0,,0.144,False,10
Bought outright,,205,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Samsung (Galaxy),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,env,53.0,,0.259,False,12
Bought on contract - fully paid,,604,Brand New,,"Other, please specify",Huawei ,Female,,25 - 34,White,Master's degree,,In full-time employment,"£40,000 to £49,999",None,env,101.0,,0.167,False,5
Bought outright,,154,Brand New,,Samsung (Galaxy),,Female,,55 - 64,White,Doctoral degree,,In part-time employment,"£40,000 to £49,999",2,cont,50.0,,0.325,False,10
Bought outright,,1152,Brand New,,Apple (iPhone),,Male,,25 - 34,BAME,Master's degree,,In part-time employment,"£20,000 to £29,999",None,gov,150.0,,0.13,False,12
Bought outright,,549,Brand New,,Google (Pixel),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£50,000 to £59,999",None,env,197.0,,0.359,False,6
Bought outright,,151,Brand New,,"Other, please specify",Motorola (android),Female,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,"Less than £10,000",None,cont,100.0,,0.662,False,6
Bought outright,,1013,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Doctoral degree,,In full-time education,"£10,000 to £19,999",None,cont,299.0,,0.295,False,16
Bought on contract - fully paid,,1319,Brand New,,Apple (iPhone),,Male,,25 - 34,BAME,Doctoral degree,,In full-time employment,"£50,000 to £59,999",2,env,51.0,,0.039,False,13
"Other, please specify",Company phone,621,Brand New,,Apple (iPhone),,Male,,45 - 54,White,Master's degree,,In full-time employment,"£150,000 or more",3,gov,146.0,,0.235,False,8
Bought outright,,750,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,gov,149.0,,0.199,False,8
Bought outright,,756,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time education,"£20,000 to £29,999",1,cont,400.0,,0.529,False,14
Bought outright,,197,Brand New,,"Other, please specify",Nokia,Female,,Over 65,White,Master's degree,,Not in employment,"£10,000 to £19,999",None,env,50.0,,0.254,False,8
"Other, please specify","Bought mobile, paying for sim only ",10,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,gov,100.0,,10.0,False,12
Bought outright,,405,Brand New,,Samsung (Galaxy),,Prefer not to say,,25 - 34,BAME,Master's degree,,Not in employment,"Less than £10,000",None,env,20.0,,0.049,False,10
Bought outright,,251,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Samsung (Galaxy),,Female,,55 - 64,White,Doctoral degree,,In full-time employment,"£40,000 to £49,999",None,env,100.0,,0.398,False,5
Bought outright,,601,Brand New,,Google (Pixel),,Male,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,cont,150.0,,0.25,False,10
Bought outright,,459,Brand New,,Apple (iPhone),,Male,,55 - 64,White,Master's degree,,In part-time employment,"£40,000 to £49,999",1,cont,115.0,,0.251,False,12
Bought outright,,163,Secondhand - Manufacturer Refurbished (eg. Apple),,Samsung (Galaxy),,Male,,45 - 54,BAME,Master's degree,,Not in employment,Prefer not to say,2,env,46.0,,0.282,False,15
Bought outright,,395,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£50,000 to £59,999",None,gov,200.0,,0.506,False,9
Bought outright,,710,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,gov,80.0,,0.113,False,13
"Other, please specify",Combination of above - phones for kids as well,211,Brand New,,Samsung (Galaxy),,Female,,45 - 54,White,Master's degree,,In part-time employment,"£40,000 to £49,999",2,env,29.0,,0.137,False,8
Bought outright,,32,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,"£20,000 to £29,999",None,cont,22.0,,0.688,False,6
Bought outright,,400,Brand New,,Samsung (Galaxy),,Non-binary / third gender,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,Not in employment,"Less than £10,000",None,env,0.0,Repairability is not a priority for me,0.0,False,13
Bought outright,,791,Brand New,,Samsung (Galaxy),,Female,,25 - 34,BAME,Master's degree,,In full-time employment,"£40,000 to £49,999",None,gov,101.0,,0.128,False,14
Bought outright,,500,Brand New,,Samsung (Galaxy),,Female,,25 - 34,BAME,Master's degree,,In full-time employment,"£70,000 to £79,999",None,cont,99.0,,0.198,False,14
Bought outright,,700,Brand New,,"Other, please specify",Sony Xperia 5 II,Male,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,"£100,000 to £149,999",None,cont,175.0,,0.25,False,11
Bought outright,,800,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,"Other, please specify",Bachelor degree,In full-time employment,Prefer not to say,None,gov,101.0,,0.126,False,9
Bought outright,,129,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,"Other, please specify",Sony,Female,,25 - 34,White,Master's degree,,In full-time education,"£10,000 to £19,999",None,env,50.0,,0.388,False,3
Bought outright,,514,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,Prefer not to say,None,cont,98.0,,0.191,False,10
Bought outright,,703,Brand New,,Samsung (Galaxy),,Male,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,Prefer not to say,None,gov,299.0,,0.425,False,8
Bought outright,,175,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,cont,47.0,,0.269,False,14
Bought outright,,420,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,Prefer not to say,None,gov,105.0,,0.25,False,8
Bought outright,,500,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,env,100.0,,0.2,False,11
Bought outright,,135,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,env,111.0,,0.822,False,10
Bought outright,,601,Brand New,,Google (Pixel),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None,gov,140.0,,0.233,False,8
Bought outright,,500,Brand New,,Samsung (Galaxy),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,cont,50.0,,0.1,False,10
Bought outright,,601,Brand New,,Samsung (Galaxy),,Male,,18 - 24,White,Master's degree,,In full-time education,"Less than £10,000",None,cont,175.0,,0.291,False,12
Bought outright,,1000,Brand New,,Apple (iPhone),,Male,,45 - 54,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,Prefer not to say,3,gov,51.0,,0.051,False,10
Bought outright,,1003,Brand New,,Apple (iPhone),,Male,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,"£30,000 to £39,999",None,env,109.0,,0.109,False,9
Bought on contract - fully paid,,1049,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,"£20,000 to £29,999",None,cont,100.0,,0.095,False,14
Bought outright,,201,Brand New,,"Other, please specify",Realmi,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£50,000 to £59,999",1,gov,154.0,,0.766,False,11
Bought on contract - fully paid,,300,Brand New,,Samsung (Galaxy),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£30,000 to £39,999",2,env,50.0,,0.167,False,14
Bought outright,,378,Brand New,,"Other, please specify",Oneplus7,Female,,35 - 44,BAME,Master's degree,,Not in employment,Prefer not to say,2,env,50.0,,0.132,False,12
Bought on contract - fully paid,,592,Brand New,,Samsung (Galaxy),,Female,,35 - 44,BAME,Master's degree,,In part-time employment,"Less than £10,000",2,cont,55.0,,0.093,False,13
Bought outright,,382,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Male,,Under 18,BAME,Secondary school (up to 16 years),,In full-time education,"Less than £10,000",None,gov,55.0,,0.144,False,10
Bought on contract - fully paid,,497,Secondhand - Private Seller (eg. ebay),,Samsung (Galaxy),,Prefer not to say,,35 - 44,BAME,Secondary school (up to 16 years),,In full-time employment,"£20,000 to £29,999",4,gov,200.0,,0.402,False,7
Bought outright,,540,Secondhand - Manufacturer Refurbished (eg. Apple),,Google (Pixel),,Female,,55 - 64,BAME,Primary school,,In full-time employment,"£20,000 to £29,999",None,env,242.0,,0.448,False,10
Bought outright,,605,Brand New,,Apple (iPhone),,Male,,45 - 54,BAME,Undergraduate degree,,In full-time employment,"£90,000 to £99,999",3,cont,57.0,,0.094,False,15
Bought outright,,394,Brand New,,Samsung (Galaxy),,Male,,35 - 44,BAME,Master's degree,,In full-time employment,"£60,000 to £69,999",None,env,72.0,,0.183,False,10
Bought on contract - fully paid,,773,Brand New,,Apple (iPhone),,Female,,45 - 54,BAME,Master's degree,,In part-time employment,"£10,000 to £19,999",2,gov,231.0,,0.299,False,16
Bought outright,,530,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,In part-time employment,"£10,000 to £19,999",None,cont,106.0,,0.2,False,16
Bought outright,,843,Brand New,,Apple (iPhone),,Male,,35 - 44,BAME,Master's degree,,Self employed,"£100,000 to £149,999",1,gov,201.0,,0.238,False,13
Bought outright,,1065,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,Not sure,4,env,248.0,,0.233,False,16
Bought outright,,795,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",1,cont,69.0,,0.087,False,14
Bought outright,,719,Brand New,,Samsung (Galaxy),,Male,,35 - 44,White,Master's degree,,Self employed,"£50,000 to £59,999",2,cont,74.0,,0.103,False,15
Bought outright,,183,Brand New,,Samsung (Galaxy),,Prefer not to say,,Under 18,BAME,Primary school,,Not in employment,Not sure,4,env,114.0,,0.623,False,10
Bought on contract - fully paid,,387,Secondhand - Manufacturer Refurbished (eg. Apple),,Google (Pixel),,Prefer not to say,,35 - 44,BAME,Doctoral degree,,In full-time education,"£20,000 to £29,999",3,gov,215.0,,0.556,False,11
Bought outright,,888,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Non-binary / third gender,,18 - 24,BAME,Primary school,,In full-time education,"£10,000 to £19,999",None,cont,418.0,,0.471,False,16
Bought on contract - fully paid,,607,Secondhand - Private Seller (eg. ebay),,Google (Pixel),,Male,,25 - 34,White,Primary school,,Self employed,"£150,000 or more",None,gov,190.0,,0.313,False,6
Bought on contract - fully paid,,396,Brand New,,Apple (iPhone),,Male,,Under 18,White,Secondary school (up to 16 years),,In full-time education,"Less than £10,000",None,env,0.0,Repairability is not a priority for me,0.0,False,12
Bought outright,,200,Brand New,,"Other, please specify",Motorola ,Male,,Under 18,BAME,Primary school,,Not in employment,"Less than £10,000",None,gov,50.0,,0.25,False,9
Bought outright,,188,Brand New,,"Other, please specify",A 50,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£10,000 to £19,999",None,cont,123.0,,0.654,False,15
Bought outright,,600,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£30,000 to £39,999",2,env,149.0,,0.248,False,12
Bought outright,,857,Brand New,,Apple (iPhone),,Prefer not to say,,35 - 44,BAME,Prefer not to say,,Self employed,"£30,000 to £39,999",2,cont,80.0,,0.093,False,14
Bought on contract - fully paid,,715,Brand New,,Apple (iPhone),,Prefer not to say,,35 - 44,BAME,Master's degree,,In part-time employment,Prefer not to say,2,gov,43.0,,0.06,False,9
Bought outright,,980,Brand New,,Samsung (Galaxy),,Female,,45 - 54,BAME,Master's degree,,In part-time employment,Prefer not to say,2,cont,104.0,,0.106,False,12
Bought on contract - fully paid,,505,Brand New,,Apple (iPhone),,Female,,55 - 64,White,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None,env,149.0,,0.295,False,11
Bought outright,,235,Brand New,,"Other, please specify",Moto,Female,,35 - 44,BAME,Master's degree,,Not in employment,Prefer not to say,3,gov,30.0,,0.128,False,13
Bought outright,,159,Brand New,,"Other, please specify",Moto g,Female,,55 - 64,White,"Further education (16+, A-Levels, BTEC, etc.)",,Not in employment,Prefer not to say,2,cont,40.0,,0.252,False,9
Bought on contract - fully paid,,764,Secondhand - Manufacturer Refurbished (eg. Apple),,Samsung (Galaxy),,Non-binary / third gender,,55 - 64,White,"Further education (16+, A-Levels, BTEC, etc.)",,Self employed,"£30,000 to £39,999",4,gov,57.0,,0.075,False,5
Bought outright,,1270,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,Not in employment,Prefer not to say,2,env,0.0,Repairability is not a priority for me,0.0,False,14
Bought outright,,726,Brand New,,Apple (iPhone),,Female,,45 - 54,BAME,Master's degree,,In full-time employment,Prefer not to say,2,env,19.0,,0.026,False,8
Bought outright,,256,Brand New,,Samsung (Galaxy),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£50,000 to £59,999",2,cont,40.0,,0.156,False,14
Bought outright,,295,Brand New,,Samsung (Galaxy),,Male,,18 - 24,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,gov,34.0,,0.115,False,6
Bought on contract - fully paid,,168,Brand New,,Samsung (Galaxy),,Female,,45 - 54,BAME,Master's degree,,In full-time employment,"£40,000 to £49,999",2,gov,25.0,,0.149,False,14
Bought outright,,972,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£80,000 to £89,999",1,cont,124.0,,0.128,False,13
Bought outright,,689,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",2,env,500.0,,0.726,False,16
Bought outright,,1119,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,In full-time employment,"£30,000 to £39,999",None,cont,144.0,,0.129,False,10
Bought outright,,1024,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,Prefer not to say,2,gov,241.0,,0.235,False,13
"Other, please specify",,669,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£30,000 to £39,999",2,env,131.0,,0.196,False,16
Bought outright,,650,Brand New,,Samsung (Galaxy),,Male,,55 - 64,White,Doctoral degree,,In full-time employment,"£60,000 to £69,999",1,cont,100.0,,0.154,False,10
Bought outright,,554,Brand New,,Apple (iPhone),,Male,,35 - 44,BAME,Doctoral degree,,Self employed,"£30,000 to £39,999",3,env,100.0,,0.181,False,13
Bought outright,,201,Brand New,,"Other, please specify",Motorola G5,Female,,25 - 34,White,Master's degree,,In full-time employment,"£10,000 to £19,999",None,gov,100.0,,0.498,False,8
Bought outright,,600,Brand New,,Apple (iPhone),,Female,,45 - 54,White,Master's degree,,Self employed,"£30,000 to £39,999",1,gov,51.0,,0.085,False,10
Bought outright,,482,Brand New,,"Other, please specify",Huawei,Female,,45 - 54,Prefer not to say,Master's degree,,In part-time employment,"£10,000 to £19,999",2,env,78.0,,0.162,False,9
"Other, please specify",Purchased separately to contract,1010,Brand New,,Apple (iPhone),,Male,,35 - 44,White,Master's degree,,In full-time education,"£20,000 to £29,999",1,cont,55.0,,0.054,False,10
Bought outright,,800,Brand New,,Samsung (Galaxy),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,env,180.0,,0.225,False,9
Bought outright,,634,Brand New,,"Other, please specify",Oneplus 8 Pro,Male,,18 - 24,White,Undergraduate degree,,Not in employment,"Less than £10,000",None,cont,81.0,,0.128,False,16
Bought on contract - fully paid,,172,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,gov,116.0,,0.674,False,11
"Other, please specify",Company phone,1003,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,env,151.0,,0.151,False,8
Bought on contract - fully paid,,737,Brand New,,Samsung (Galaxy),,Female,,35 - 44,BAME,Master's degree,,Self employed,Not sure,2,gov,198.0,,0.269,False,16
Bought outright,,243,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Male,,18 - 24,White,Master's degree,,In full-time education,Not sure,None,cont,113.0,,0.465,False,10
Bought outright,,1008,Brand New,,Apple (iPhone),,Male,,55 - 64,White,Master's degree,,In part-time employment,"£80,000 to £89,999",2,env,370.0,,0.367,False,7
Bought outright,,481,Brand New,,Apple (iPhone),,Male,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,"£50,000 to £59,999",None,cont,51.0,,0.106,False,12
Bought outright,,702,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,gov,100.0,,0.142,False,11
"Other, please specify",Renting my phone ,31,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,gov,150.0,,4.839,False,12
Bought outright,,401,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time employment,Prefer not to say,None,cont,40.0,,0.1,False,10
Bought outright,,650,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time education,"£10,000 to £19,999",None,env,40.0,,0.062,False,8
Bought outright,,65,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,55 - 64,White,"Further education (16+, A-Levels, BTEC, etc.)",,In part-time employment,"£10,000 to £19,999",None,env,81.0,,1.246,False,11
Bought on contract - fully paid,,270,Brand New,,Samsung (Galaxy),,Male,,55 - 64,White,Secondary school (up to 16 years),,In full-time employment,"£20,000 to £29,999",None,cont,106.0,,0.393,False,11
Bought outright,,351,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,gov,76.0,,0.217,False,9
Bought outright,,741,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In part-time employment,"£20,000 to £29,999",None,gov,93.0,,0.126,False,15
Bought outright,,253,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Male,,18 - 24,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,env,100.0,,0.395,False,8
Bought outright,,1000,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Doctoral degree,,In full-time employment,"£40,000 to £49,999",None,cont,100.0,,0.1,False,15
Bought outright,,154,Brand New,,"Other, please specify",Motorola ,Male,,25 - 34,White,Master's degree,,In full-time employment,"£40,000 to £49,999",None,gov,70.0,,0.455,False,6
Bought on contract - fully paid,,555,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,env,99.0,,0.178,False,10
Bought outright,,854,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,cont,40.0,,0.047,False,13
Bought outright,,761,Brand New,,Samsung (Galaxy),,Male,,18 - 24,White,Master's degree,,In full-time employment,"£40,000 to £49,999",None,gov,20.0,,0.026,False,8
Bought outright,,303,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,env,201.0,,0.663,False,9
Bought outright,,1003,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£50,000 to £59,999",None,cont,100.0,,0.1,False,13
Bought outright,,399,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Prefer not to say,,In full-time employment,Prefer not to say,None,cont,60.0,,0.15,False,10
Bought outright,,681,Brand New,,Samsung (Galaxy),,Female,,25 - 34,BAME,Doctoral degree,,In full-time employment,"£40,000 to £49,999",1,gov,84.0,,0.123,False,11
Bought outright,,584,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,cont,201.0,,0.344,False,9
Bought outright,,215,Brand New,,"Other, please specify",Xiaomi Mi9 SE,Male,,25 - 34,White,Master's degree,,Not in employment,"£20,000 to £29,999",None,cont,106.0,,0.493,False,6
